SIGNIFICANT_POINT_ID,CODE_FIR,CODE_IN_AIRWAY,CODE_ID,CODE_CHANNEL,TXT_NAME,CODE_TYPE,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_FREQ,UOM_FREQ,VAL_MAG_VAR,VAL_ELEV,UOM_DIST_VER,TXT_RMK,IS_REP_ATC,IS_PBN,PURPOSE,ROUTE_RESTRICT,IS_TRANS_POINT,IS_BORDER_POINT,SERVICED_AIRPORT,IS_MODIFIED,
85a489ad-242d-4206-aa21-68076e575415,上海情报区,Y,NCH,CH98X,昌北,VOR/DME,N285311,E1155447,115.1,MHz,-4.48,43,M,,Y,N,AE,N,N,N,ZSCN,N,
86111d82-cd1c-4896-816a-370da6c7f1de,昆明情报区,Y,XSJ,CH19X,晋宁,VOR/DME,N244056,E1024804,108.2,MHz,-1.36,2383,M,,Y,N,AE,N,N,N,ZPPP,N,
14a69854-054b-4ac3-ba40-8317edeec3b5,广州情报区,Y,LMN,CH110X,龙门,VOR/DME,N233851,E1141941,116.3,MHz,-3.2,39,M,,Y,N,AE,N,N,N,ZGGG,N,
45b27083-9ddf-47b6-88d4-37d9f5b2b5f3,上海情报区,Y,KHN,CH74X,向塘,VOR/DME,N282543,E1155519,112.7,MHz,-4.37,9,M,,Y,N,AE,Y,N,N,ZSCN,N,
79dd8848-200f-4d18-a713-875bf285a867,沈阳情报区,Y,MZL,CH78X,满洲里,VOR/DME,N491945,E1173846,113.1,MHz,-10.48,,,320°径向线顺时针方向至100°径向线之间（007°、343°径向线除外）不可用。,Y,N,AE,N,N,N,ZBMZ,N,
396da75d-25e3-4f27-972d-3abf9b0a89c2,上海情报区,Y,WYS,CH126X,武夷山,VOR/DME,N274044,E1175923,117.9,MHz,-4.68,201,M,VOR：257°径向线顺时针至282°径向线之间（除257°径向线），077°径向线进离场程序距台22NM以外、319°径向线进离场程序距台21NM以外不可用；DME：250°径向线顺时针至291°径向线之间（除253°、257°径向线），077°径向线进离场程序距台14NM以外、253°径向线进离场程序距台13NM以外、319°径向线进离场程序距台21NM以外不可用。,Y,N,AE,N,N,N,ZSWY,N,
5b8c3030-5260-4281-99e8-ba6cb35a4d5f,上海情报区,Y,DSH,CH120X,党山,VOR/DME,N300858,E1203001,117.3,MHz,-5.9,38,M,,Y,N,AE,N,N,N,ZSHC,N,
902d8c28-b77a-4b75-81f4-a79650b720a0,广州情报区,Y,GLB,CH75X,荔波,VOR/DME,N252724,E1075743,112.8,MHz,-2.67,854,M,,Y,N,AE,N,N,N,ZULB,N,
00ce3d67-6768-4031-8830-141fb7a762a9,广州情报区,Y,ZHJ,CH125X,芷江,VOR/DME,N272704,E1094226,117.8,MHz,-2.86,275,M,,Y,N,AE,N,N,N,ZGCJ,N,
be32fed7-7a75-4450-9e2d-01abfcd4ac9f,武汉情报区,Y,HOK,CH107X,河口,VOR/DME,N311925,E1142545,116.0,MHz,-4.46,,,,Y,N,AE,N,N,N,ZHEC,N,
